iter	Logloss
148	0.5167269757
149	0.5163198279
150	0.5158537751
151	0.5153100222
152	0.5149067986
153	0.5146091589
154	0.5143569426
155	0.5138141205
156	0.5134404232
157	0.5131473159
158	0.5128092451
159	0.5124976516
160	0.5120676634
161	0.5117584472
162	0.5109953103
163	0.5105661892
164	0.5101230293
165	0.5098955546
166	0.5095195546
167	0.5090882655
168	0.5086802544
169	0.5083041364
170	0.5079996969
171	0.5077172213
172	0.5075126626
173	0.507133963
174	0.5067992901
175	0.5064358749
176	0.506068138
177	0.5058522069
178	0.5055543934
179	0.5049361513
180	0.5045020005
181	0.5042641194
182	0.5040548529
183	0.5036659198
184	0.5032762428
185	0.5029083286
186	0.5025854629
187	0.5021330161
188	0.5016799501
189	0.5013081284
190	0.5010214812
191	0.5007080534
192	0.5004310879
193	0.5001219284
194	0.4994622335
195	0.4991121237
196	0.49879188
197	0.4984593833
198	0.4981470952
199	0.497732504
200	0.4973014683
201	0.4969652672
202	0.4963736939
203	0.4959749
204	0.495681164
205	0.4953285567
206	0.4951376697
207	0.4948324936
208	0.4945160607
209	0.4943260287
210	0.493990781
211	0.4936448375
212	0.4932305273
213	0.4927998822
214	0.492466738
215	0.4921787844
216	0.4919003589
217	0.4914486488
218	0.4910891576
219	0.4907481395
220	0.4904589935
221	0.4901024664
222	0.4898041874
223	0.4894487023
224	0.4891473946
225	0.4888678494
226	0.4885388715
227	0.4882023963
228	0.4877759807
229	0.487495763
230	0.4872598618
231	0.4870221702
232	0.4866946259
233	0.4864324437
234	0.4860679807
235	0.4858529124
236	0.4854411797
237	0.4850089319
238	0.4846949391
239	0.4843813675
240	0.4838675643
241	0.4836093094
242	0.4833562786
243	0.4828282884
244	0.482566726
245	0.4823184785
246	0.482057876
247	0.4816848764
248	0.4813824828
249	0.4811160208
250	0.4808703577
251	0.4806932288
252	0.4801955204
253	0.4799763179
254	0.4796228923
255	0.4793364858
256	0.4790389564
257	0.4788522783
258	0.4785641598
259	0.4783283657
260	0.4780861686
261	0.4777379365
262	0.4775293947
263	0.4772688395
264	0.4770441819
265	0.4767884647
266	0.4765131836
267	0.4763277473
268	0.4761021293
269	0.4758354963
270	0.4755198166
271	0.4751507085
272	0.4748854886
273	0.4747228888
274	0.474469216
275	0.4741164675
276	0.473871767
277	0.4735081256
278	0.4732429285
279	0.4728874282
280	0.4726005283
281	0.4723429426
282	0.4720149778
283	0.4715909223
284	0.4713887162
285	0.4710243486
286	0.4706233884
287	0.4704410504
288	0.4701702911
289	0.4699004487
290	0.4695076854
291	0.4691079264
292	0.4688329505
293	0.4685419813
294	0.468200335
295	0.4680028583
296	0.467850157
297	0.467503499
298	0.4671051014
299	0.4668668662
300	0.4664667305
301	0.4661644465
302	0.4659222069
303	0.4656867889
304	0.4653592731
305	0.4650985535
306	0.4649513441
307	0.4646959918
308	0.464372035
309	0.4639341901
310	0.4635494523
311	0.4631791686
312	0.4628215097
313	0.4625554409
314	0.4622283339
315	0.4620075433
316	0.4617088512
317	0.4614734895
318	0.461053212
319	0.4606980577
320	0.4603742502
321	0.4600995774
322	0.4598806491
323	0.4596367997
324	0.4594022979
325	0.4592017412
326	0.4588975988
327	0.4586165267
328	0.4583370012
329	0.4580415168
330	0.4577685354
331	0.4574467222
332	0.4572626816
333	0.4570004472
334	0.456785259
335	0.4565944646
336	0.4562128867
337	0.4558954428
338	0.4557183982
339	0.4554509037
340	0.4551062184
341	0.4547953271
342	0.4544984839
343	0.4542243214
344	0.4539075031
345	0.4536713548
346	0.4534882446
347	0.4533522745
348	0.4531547823
349	0.4528493417
350	0.4526107142
351	0.4525263709
352	0.4522465279
353	0.4520692306
354	0.4518802668
355	0.4516117965
356	0.4512794902
357	0.4510285593
358	0.450877803
359	0.4506578243
360	0.450509233
361	0.4503343013
362	0.4500684326
363	0.4498798548
364	0.4496540053
365	0.4494487154
366	0.4491554909
367	0.4488976672
368	0.4487045699
369	0.4484269848
370	0.4480910122
371	0.4477301946
372	0.4474167048
373	0.4471859919
374	0.4469612302
375	0.4467199387
376	0.4465363936
377	0.4463853872
378	0.4460906179
379	0.4458846508
380	0.4455942388
381	0.4453252516
382	0.4450644174
383	0.4448500233
384	0.4446083409
385	0.4443092761
386	0.4440847503
387	0.4438248152
388	0.443537623
389	0.4433577411
390	0.4430639829
391	0.442843538
392	0.4425859195
393	0.4422964115
394	0.442068776
395	0.4418434397
396	0.4416273753
397	0.4413012725
398	0.441072717
399	0.4408606371
400	0.4406077966
401	0.4403812029
402	0.4401791976
403	0.4399440878
404	0.4396807589
405	0.4394270525
406	0.4391711873
407	0.4390978292
408	0.4388952181
409	0.4386094616
410	0.4383788474
411	0.4380884213
412	0.4378442308
413	0.4375725132
414	0.4373201986
415	0.4370946478
416	0.4367873251
417	0.4365745788
418	0.4363937537
419	0.4360934109
420	0.4359228576
421	0.4356999529
422	0.4353304975
423	0.4351884558
424	0.4348794718
425	0.4346388743
426	0.4344692291
427	0.4342174804
428	0.4339209636
429	0.433716406
430	0.4335072556
431	0.4332390128
432	0.4329799899
433	0.4328137336
434	0.4325108209
435	0.4322895628
436	0.432082491
437	0.4319628399
438	0.4317294535
439	0.4315803892
440	0.4312887443
441	0.4310833729
442	0.4309435942
443	0.4305900263
444	0.4303081004
445	0.4300758048
446	0.4298558984
447	0.4296144284
448	0.4294412275
449	0.4292931532
450	0.4291489338
451	0.4289454529
452	0.4287715784
453	0.4284571589
454	0.428184044
455	0.4280858106
456	0.4277937543
457	0.4276383749
458	0.4274555264
459	0.42725442
460	0.4269347066
461	0.4266442498
462	0.4264025923
463	0.4260134963
464	0.4257785452
465	0.4255803431
466	0.4253156069
467	0.4250570357
468	0.4248014866
469	0.424637936
470	0.4243933111
471	0.4242156055
472	0.4239921949
473	0.4237972768
474	0.4235996338
475	0.4233464446
476	0.4230817955
477	0.4228669752
478	0.4226601615
479	0.4224770248
480	0.4222607002
481	0.4220319086
482	0.4218448956
483	0.4216353263
484	0.4214359555
485	0.4211587002
486	0.4208562725
487	0.4206351746
488	0.4203808243
489	0.4201679414
490	0.4200137612
491	0.4198379114
492	0.4196740563
493	0.4194669094
494	0.4193013203
495	0.4190664264
496	0.4187907655
497	0.4185790682
498	0.4184009729
499	0.4181990012
